lat,lon,name,category,address
13.1021249,80.2747485,Unnamed Apartment,Apartment Complex,", Chennai"
13.1022266,80.2747194,Unnamed Apartment,Apartment Complex,", Chennai"
13.1023334,80.2746925,Unnamed Apartment,Apartment Complex,", Chennai"
13.1021395,80.2745469,Unnamed Apartment,Apartment Complex,", Chennai"
13.1022434,80.2745139,Unnamed Apartment,Apartment Complex,", Chennai"
13.1024582,80.2746382,Unnamed Apartment,Apartment Complex,", Chennai"
13.1023765,80.2745993,Unnamed Apartment,Apartment Complex,", Chennai"
13.1034687,80.2755902,Unnamed Apartment,Apartment Complex,", Chennai"
13.1036228,80.2755843,Unnamed Apartment,Apartment Complex,", Chennai"
13.1032546,80.2746554,Unnamed Apartment,Apartment Complex,", Chennai"
13.1034178,80.2750691,Unnamed Apartment,Apartment Complex,", Chennai"
13.1022613,80.2751708,Unnamed Apartment,Apartment Complex,", Chennai"
13.102375,80.2751563,Unnamed Apartment,Apartment Complex,", Chennai"
13.1025103,80.2751303,Unnamed Apartment,Apartment Complex,", Chennai"
13.1026115,80.2750395,Unnamed Apartment,Apartment Complex,", Chennai"
13.1029079,80.2750427,Unnamed Apartment,Apartment Complex,", Chennai"
13.1099608,80.2575926,Unnamed Apartment,Apartment Complex,", Chennai"
13.1099703,80.2580985,Unnamed Apartment,Apartment Complex,", Chennai"
13.1106023,80.2580835,Unnamed Apartment,Apartment Complex,", Chennai"
13.1105927,80.2575776,Unnamed Apartment,Apartment Complex,", Chennai"
13.1103123,80.2581979,Unnamed Apartment,Apartment Complex,", Chennai"
13.1102718,80.257823,Unnamed Apartment,Apartment Complex,", Chennai"
13.1099185,80.25638,Unnamed Apartment,Apartment Complex,", Chennai"
13.1105621,80.2563973,Unnamed Apartment,Apartment Complex,", Chennai"
13.1100795,80.256393,Unnamed Apartment,Apartment Complex,", Chennai"
13.1139015,80.2597373,Unnamed Apartment,Apartment Complex,", Chennai"
13.1140889,80.260149,Unnamed Apartment,Apartment Complex,", Chennai"
13.1141352,80.2604309,Unnamed Apartment,Apartment Complex,", Chennai"
13.1144411,80.2604467,Unnamed Apartment,Apartment Complex,", Chennai"
13.1143888,80.2601753,Unnamed Apartment,Apartment Complex,", Chennai"
13.1142957,80.2607427,Unnamed Apartment,Apartment Complex,", Chennai"
13.1144553,80.2608561,Unnamed Apartment,Apartment Complex,", Chennai"
13.1145993,80.2609557,Unnamed Apartment,Apartment Complex,", Chennai"
